Hamming_weight, Result
20.000000, 0
21.000000, 0
17.000000, 0
12.000000, 0
17.000000, 0
12.000000, 0
16.000000, 0
18.000000, 0
18.000000, 0
17.000000, 0
16.000000, 0
18.000000, 0
17.000000, 0
16.000000, 0
12.000000, 0
16.000000, 0
12.000000, 0
14.000000, 0
19.000000, 0
13.000000, 0
10.000000, 0
17.000000, 0
16.000000, 0
13.000000, 0
19.000000, 0
16.000000, 0
20.000000, 0
14.000000, 0
18.000000, 0
20.000000, 0
13.000000, 0
15.000000, 0
13.000000, 0
16.000000, 0
13.000000, 0
19.000000, 0
14.000000, 0
13.000000, 0
17.000000, 0
18.000000, 0
12.000000, 0
17.000000, 0
15.000000, 0
12.000000, 0
17.000000, 0
18.000000, 0
19.000000, 0
15.000000, 0
14.000000, 0
17.000000, 0
10.000000, 0
16.000000, 0
17.000000, 0
12.000000, 0
15.000000, 0
15.000000, 0
18.000000, 0
13.000000, 0
19.000000, 0
18.000000, 0
15.000000, 0
16.000000, 0
12.000000, 0
17.000000, 0
16.000000, 0
20.000000, 0
